material_id,name,formula
mp-1185641,Mg149V (mp-1185641),Mg149V
mp-1185694,MgBi (mp-1185694),MgBi
mp-1185754,Mg2Ag (mp-1185754),Mg2Ag
mp-1185791,Mg2Ni (mp-1185791),Mg2Ni
mp-1185800,Mg3V (mp-1185800),Mg3V
mp-1185801,Mg5Ag (mp-1185801),Mg5Ag
mp-1185803,Mg5Cu (mp-1185803),Mg5Cu
mp-1185807,Mg5Ag (mp-1185807),Mg5Ag
mp-1185377,LiMg2Ni (mp-1185377),LiMg2Ni
mp-1185524,Li95Mn16O64 (mp-1185524),Li95Mn16O64
mp-1185541,CsNa3 (mp-1185541),CsNa3
mp-1185554,CsK3 (mp-1185554),CsK3
mp-1185557,Mg149Bi (mp-1185557),Mg149Bi
mp-1185565,Mg149Mo (mp-1185565),Mg149Mo
mp-1185581,Mg149Cd (mp-1185581),Mg149Cd
mp-1185585,Mg149Cr (mp-1185585),Mg149Cr
mp-1185589,Mg149Nb (mp-1185589),Mg149Nb
mp-1185591,Mg149Ag (mp-1185591),Mg149Ag
mp-1185592,Mg149Fe (mp-1185592),Mg149Fe
mp-1185599,Mg149Ni (mp-1185599),Mg149Ni
mp-1185851,MgC (mp-1185851),MgC
mp-1185941,MgReO3 (mp-1185941),MgReO3
mp-1185976,MnAl2Tc (mp-1185976),MnAl2Tc
mp-1186017,Na3Ag (mp-1186017),Na3Ag
mp-1186024,Na3Cd (mp-1186024),Na3Cd
mp-1186032,Na3Ca (mp-1186032),Na3Ca
mp-1186037,Na3Fe (mp-1186037),Na3Fe
mp-1186065,Na3Ce (mp-1186065),Na3Ce
mp-1186073,Na3Ni (mp-1186073),Na3Ni
mp-1186080,Na3Sn (mp-1186080),Na3Sn
mp-1186124,NaCa2Rh (mp-1186124),NaCa2Rh
mp-1186129,NaCa3 (mp-1186129),NaCa3
mp-1186429,Pm (mp-1186429),Pm
mp-1187151,SrCa3 (mp-1187151),SrCa3
mp-1187155,SrCa3 (mp-1187155),SrCa3
mp-11872,Ag2O3 (mp-11872),Ag2O3
mp-1187710,Y2MgCd (mp-1187710),Y2MgCd
mp-1187735,Y3Bi (mp-1187735),Y3Bi
mp-1188169,LiFe(GeO3)2 (mp-1188169),LiFe(GeO3)2
mp-1188225,SmVO3 (mp-1188225),SmVO3
mp-1188790,Cu(SbO3)2 (mp-1188790),Cu(SbO3)2
mp-1189643,Co(CO3)2 (mp-1189643),Co(CO3)2
mp-1189706,CdTcO3 (mp-1189706),CdTcO3
mp-1189981,Zr5ZnSn3 (mp-1189981),Zr5ZnSn3
mp-1190319,In2Ge2O7 (mp-1190319),In2Ge2O7
mp-1190381,BaVSi2O7 (mp-1190381),BaVSi2O7
mp-1190392,Na3Ti6O13 (mp-1190392),Na3Ti6O13
mp-1190582,Mg6NbH16 (mp-1190582),Mg6NbH16
mp-1190609,VO2 (mp-1190609),VO2
mp-1191096,Mg6VH16 (mp-1191096),Mg6VH16
mp-1191131,Mg7NbH16 (mp-1191131),Mg7NbH16
mp-1191142,CuBH4ClO4 (mp-1191142),CuBH4ClO4
mp-1191756,FeSiO4 (mp-1191756),FeSiO4
mp-1191852,Mg6TiH16 (mp-1191852),Mg6TiH16
mp-1192183,Mg7VH16 (mp-1192183),Mg7VH16
mp-1192230,NaMnP2O7 (mp-1192230),NaMnP2O7
mp-1192423,BaYCo4O7 (mp-1192423),BaYCo4O7
mp-1192597,Y10Cd3Pd (mp-1192597),Y10Cd3Pd
mp-1195553,Zr(Zn10Fe)2 (mp-1195553),Zr(Zn10Fe)2
mp-1195878,Nd(Mg10Ni)2 (mp-1195878),Nd(Mg10Ni)2
mp-1196197,Na2MnH4(SO5)2 (mp-1196197),Na2MnH4(SO5)2
mp-1196257,Ca(BH)12 (mp-1196257),Ca(BH)12
mp-1197196,Li2Mo15Se19 (mp-1197196),Li2Mo15Se19
mp-1197460,Al4Fe(SiO6)2 (mp-1197460),Al4Fe(SiO6)2
mp-1197890,Li2Ti2(PO4)3 (mp-1197890),Li2Ti2(PO4)3
mp-1197936,U(Zn10Fe)2 (mp-1197936),U(Zn10Fe)2
mp-1198026,Li5Mo15S19 (mp-1198026),Li5Mo15S19
mp-1198166,Na2MnP2O7 (mp-1198166),Na2MnP2O7
mp-1198236,NaV2O5 (mp-1198236),NaV2O5
mp-1198729,Li22Sn5 (mp-1198729),Li22Sn5
mp-1192779,Cu2H4CO5 (mp-1192779),Cu2H4CO5
mp-1192813,LiTi2O4 (mp-1192813),LiTi2O4
mp-1193185,BaFeBP2O9 (mp-1193185),BaFeBP2O9
mp-1193296,LiTi2O4 (mp-1193296),LiTi2O4
mp-1193438,BaCaFe4O7 (mp-1193438),BaCaFe4O7
mp-1194048,BaYCo4O7 (mp-1194048),BaYCo4O7
mp-1194382,MgTi2O4 (mp-1194382),MgTi2O4
mp-1195165,CdCuAsHO5 (mp-1195165),CdCuAsHO5
mp-1195250,Zr(Zn10Co)2 (mp-1195250),Zr(Zn10Co)2
mp-1195295,CaFe5O7 (mp-1195295),CaFe5O7
mp-1195443,LiMn4O8 (mp-1195443),LiMn4O8
mp-1195444,Zr(Zn10Ni)2 (mp-1195444),Zr(Zn10Ni)2
mp-1198941,KNi3P3O11 (mp-1198941),KNi3P3O11
mp-1199354,ZnH20PtC4(NO3)4 (mp-1199354),ZnH20PtC4(NO3)4
mp-1205427,BaV2Ni3(HO5)2 (mp-1205427),BaV2Ni3(HO5)2
mp-1205429,FeO2 (mp-1205429),FeO2
mp-1205635,Cs2KPdF6 (mp-1205635),Cs2KPdF6
mp-1205672,KTl2CrF6 (mp-1205672),KTl2CrF6
